class0_TP_Rate,class0_TP_Denum,class0_TP_Numer,class0_TN_Rate,class0_TN_Denum,class0_TN_Numer,red_method,clustering_method,linkage,affinity,algorithm,tol,max_iter,n_init,silhouette_avg,v_measure,homogenity,completeness,ami,nmi
74.6,685,511,91.84,2254,2070,PCA,AgglomerativeClustering,ward,euclidean,,,,,0.63635725,-3.0445844171557607e-15,1.0,-1.522292208577878e-15,-4.001882974452001e-15,-3.75
33.87,685,232,99.6,2254,2245,PCA,AgglomerativeClustering,complete,euclidean,,,,,0.66994315,-5.7736707576165495e-15,1.0,-2.8868353788082665e-15,-8.636232885524592e-15,-3.6875
21.17,685,145,99.78,2254,2249,PCA,AgglomerativeClustering,average,euclidean,,,,,0.6541998,8.331094712537541e-15,1.0,4.165547356268788e-15,1.2528807372207286e-14,3.78125
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,single,euclidean,,,,,0.02284002,0.0,1.0,0.0,0.0,0.0
71.97,685,493,93.74,2254,2113,PCA,AgglomerativeClustering,complete,l1,,,,,0.64734256,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,average,l1,,,,,0.022840139,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,single,l1,,,,,0.02283982,0.0,1.0,0.0,0.0,0.0
33.87,685,232,99.6,2254,2245,PCA,AgglomerativeClustering,complete,l2,,,,,0.66994315,-5.7736707576165495e-15,1.0,-2.8868353788082665e-15,-8.636232885524592e-15,-3.6875
21.17,685,145,99.78,2254,2249,PCA,AgglomerativeClustering,average,l2,,,,,0.6541998,8.331094712537541e-15,1.0,4.165547356268788e-15,1.2528807372207286e-14,3.78125
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,single,l2,,,,,0.022839649,0.0,1.0,0.0,0.0,0.0
71.97,685,493,93.74,2254,2113,PCA,AgglomerativeClustering,complete,manhattan,,,,,0.64734256,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,average,manhattan,,,,,0.022839895,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,single,manhattan,,,,,0.02284024,0.0,1.0,0.0,0.0,0.0
90.95,685,623,73.74,2254,1662,PCA,AgglomerativeClustering,complete,cosine,,,,,0.49798337,-1.473586051850949e-15,1.0,-7.367930259254739e-16,-2.2734985438389958e-15,-2.25
89.78,685,615,76.22,2254,1718,PCA,AgglomerativeClustering,average,cosine,,,,,0.5177592,-4.975071947826693e-16,1.0,-2.487535973913346e-16,-2.487535973913346e-16,-0.75
0.0,685,0,99.96,2254,2253,PCA,AgglomerativeClustering,single,cosine,,,,,-0.37103012,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,ward,euclidean,,,,,0.022839636,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,complete,euclidean,,,,,0.022839978,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,average,euclidean,,,,,0.022840086,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,single,euclidean,,,,,0.022840356,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.91,2254,2252,FastICA,AgglomerativeClustering,complete,l1,,,,,-0.067146674,3.14560834182647e-13,1.0,1.572804170913482e-13,4.718575947081658e-13,3.9970703125
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,average,l1,,,,,0.022840144,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,single,l1,,,,,0.022840543,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,complete,l2,,,,,0.02283979,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,average,l2,,,,,0.022839624,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,single,l2,,,,,0.02284015,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,complete,manhattan,,,,,0.022839807,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,average,manhattan,,,,,0.022839366,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,single,manhattan,,,,,0.022839515,0.0,1.0,0.0,0.0,0.0
7.15,685,49,82.39,2254,1857,FastICA,AgglomerativeClustering,complete,cosine,,,,,-0.06283225,0.0,1.0,0.0,0.0,0.0
38.69,685,265,96.18,2254,2168,FastICA,AgglomerativeClustering,average,cosine,,,,,0.49598327,0.0,1.0,0.0,0.0,0.0
0.0,685,0,99.96,2254,2253,FastICA,AgglomerativeClustering,single,cosine,,,,,-0.21555011,0.0,1.0,0.0,0.0,0.0
